Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
15,10,2022,15,53,23,BEG,8.33,19,2.28,NF,20,17,10,5,1,1,0,0,0,24,0,0,23,0,0,3,2,1333,14,15
15,10,2022,15,53,52,BEG,2.45,9,3.67,NF,23,19,8,2,2,0,0,0,0,11,0,0,9,0,0,2,2,612,8,9
15,10,2022,15,54,5,BEG,3.07,12,3.90,NF,25,15,11,1,2,0,0,0,0,13,0,0,12,0,0,2,2,683,12,12
15,10,2022,15,55,42,BEG,6.40,27,4.21,NF,10,27,13,4,0,0,0,0,0,29,0,0,27,0,0,2,2,1197,17,20
15,10,2022,15,55,58,BEG,7.03,21,2.98,NF,17,20,12,5,0,0,0,0,0,25,0,0,22,0,0,2,1,1326,13,18
15,10,2022,15,56,15,BEG,4.90,16,3.26,NF,18,21,9,5,1,0,0,0,0,23,0,0,22,0,0,4,3,877,13,15
31,10,2022,0,26,49,BEG,1.97,4,2.03,NF,26,18,6,2,1,1,0,0,0,10,0,0,6,0,0,2,1,573,4,4
31,10,2022,0,27,49,BEG,3.95,12,3.03,NF,20,17,12,4,1,0,0,0,0,19,0,0,18,0,0,4,4,860,10,10
31,10,2022,0,27,57,BEG,1.46,5,3.42,NF,22,13,17,2,0,0,0,0,0,6,0,0,6,0,0,3,1,457,5,5
31,10,2022,0,28,12,BEG,5.23,19,3.63,NF,20,21,10,1,1,0,1,0,0,23,0,0,19,0,0,1,1,952,12,12
31,10,2022,0,28,29,BEG,1.77,5,2.82,NF,31,10,9,2,2,0,0,0,0,7,0,0,5,0,0,2,1,462,5,5
31,10,2022,0,28,49,BEG,3.27,16,4.89,NF,17,26,8,3,0,0,0,0,0,17,0,0,16,0,0,2,2,855,13,12
31,10,2022,0,30,11,BEG,4.22,17,4.02,NF,17,19,16,1,1,0,0,0,0,20,0,0,19,0,0,3,1,934,11,13
31,10,2022,0,30,40,BEG,3.23,13,4.02,NF,19,23,9,1,2,0,0,0,0,16,0,0,14,0,0,1,3,727,10,11
31,10,2022,0,30,45,BEG,2.79,7,2.50,NF,21,20,11,2,0,0,0,0,0,14,0,0,10,0,0,2,3,853,7,7
31,10,2022,0,31,11,BEG,5.28,17,3.21,NF,20,17,13,3,1,0,0,0,0,24,0,0,21,0,0,2,5,875,15,14
31,10,2022,0,31,21,BEG,3.06,13,4.24,NF,22,21,9,2,0,0,0,0,0,15,0,0,14,0,0,1,3,811,9,10
31,10,2022,0,31,28,BEG,5.27,17,3.22,NF,16,25,6,5,2,0,0,0,0,25,0,0,23,0,0,2,3,1150,14,14
31,10,2022,0,31,39,BEG,4.12,10,2.42,NF,20,19,11,2,1,1,0,0,0,16,0,0,14,0,0,3,4,1122,10,10
31,10,2022,0,32,3,BEG,5.74,18,3.13,NF,17,21,12,4,0,0,0,0,0,23,0,0,22,0,0,4,3,1346,15,16
31,10,2022,0,32,44,BEG,2.84,12,4.22,NF,21,14,16,2,1,0,0,0,0,13,0,0,12,0,0,3,2,685,10,10
31,10,2022,0,33,1,BEG,6.03,25,4.14,NF,16,19,14,5,0,0,0,0,0,25,0,0,25,0,0,2,1,1145,15,15
31,10,2022,0,33,16,BEG,2.36,9,3.81,NF,20,20,10,3,1,0,0,0,0,11,0,0,10,0,0,3,4,728,9,9
31,10,2022,0,34,17,BEG,3.94,14,3.55,NF,17,24,8,5,0,0,0,0,0,18,0,0,15,0,0,2,3,964,11,11
31,10,2022,0,34,45,BEG,4.66,19,4.07,NF,20,18,12,2,1,1,0,0,0,20,0,0,19,0,0,1,2,823,14,16
31,10,2022,0,34,51,BEG,3.89,17,4.37,NF,19,20,12,3,0,0,0,0,0,20,0,0,20,0,0,3,1,838,13,13
31,10,2022,0,35,2,BEG,3.11,8,2.57,NF,26,12,11,4,1,0,0,0,0,9,0,0,8,0,0,3,3,819,8,8
31,10,2022,0,35,7,BEG,2.09,6,2.87,NF,24,19,8,3,0,0,0,0,0,12,0,0,12,0,0,3,1,570,5,5
31,10,2022,0,35,21,BEG,2.73,7,2.56,NF,23,17,12,1,1,0,0,0,0,14,0,0,11,0,0,2,3,786,5,5
31,10,2022,0,36,2,BEG,5.82,25,4.29,NF,16,24,6,4,4,0,0,0,0,28,0,0,25,0,0,2,2,1276,15,17
31,10,2022,0,36,18,BEG,3.65,12,3.28,NF,22,16,10,5,1,0,0,0,0,17,0,0,15,0,0,4,2,793,10,11
31,10,2022,0,36,26,BEG,3.09,11,3.55,NF,24,15,8,5,2,0,0,0,0,14,0,0,13,0,0,3,3,664,11,11
31,10,2022,0,37,15,BEG,5.37,18,3.35,NF,15,24,13,2,0,0,0,0,0,25,0,0,25,0,0,2,4,1125,13,15
31,10,2022,0,37,20,BEG,4.44,16,3.60,NF,17,23,12,2,0,0,0,0,0,20,0,0,16,0,0,2,6,1050,13,13
31,10,2022,0,37,30,BEG,2.47,9,3.64,NF,22,15,13,3,1,0,0,0,0,12,0,0,11,0,0,4,2,665,8,8
31,10,2022,0,39,42,BEG,3.00,6,2.00,NF,29,13,7,3,2,0,0,0,0,11,0,0,9,0,0,2,3,656,6,6
31,10,2022,0,39,47,BEG,4.85,17,3.50,NF,20,19,9,4,2,0,0,0,0,19,0,0,18,0,0,2,4,919,14,17
1,11,2022,1,54,13,BEG,14.47,27,1.86,Flag,11,23,17,3,0,0,0,0,0,11,4,5,11,4,5,3,2,861,19,19
1,11,2022,1,55,54,BEG,9.57,16,1.67,Flag,17,20,13,4,0,0,0,0,0,7,3,3,7,3,3,2,2,542,11,13
1,11,2022,1,57,40,BEG,6.69,11,1.64,Flag,27,15,7,4,1,0,0,0,0,7,2,2,7,2,2,1,4,637,10,10
1,11,2022,1,58,1,BEG,7.45,16,2.14,Flag,15,26,10,3,0,0,0,0,0,10,1,3,10,1,2,3,4,844,13,13
1,11,2022,1,58,33,BEG,9.40,25,2.65,Flag,11,28,14,1,0,0,0,0,0,9,3,4,9,3,4,1,3,603,16,21
1,11,2022,1,58,50,BEG,9.49,15,1.58,Flag,19,26,4,2,3,0,0,0,0,7,2,3,7,2,3,3,5,479,12,12
7,11,2022,2,0,36,BEG,2.94,10,3.40,NF,23,14,12,3,1,1,0,0,0,14,0,0,10,0,0,2,2,691,8,9
7,11,2022,2,1,11,BEG,3.18,10,3.14,NF,26,14,8,6,0,0,0,0,0,13,0,0,11,0,0,2,2,663,10,10
7,11,2022,2,1,33,BEG,3.22,11,3.41,NF,21,20,8,5,0,0,0,0,0,15,0,0,12,0,0,2,2,782,10,11
7,11,2022,2,1,40,BEG,6.30,20,3.17,NF,16,18,17,3,0,0,0,0,0,31,0,0,26,0,0,3,3,1457,15,17
7,11,2022,2,1,45,BEG,4.34,19,4.37,NF,15,19,17,3,0,0,0,0,0,20,0,0,19,0,0,3,3,913,14,14
7,11,2022,2,1,55,BEG,4.97,13,2.61,NF,17,18,17,2,0,0,0,0,0,21,0,0,20,0,0,4,4,1014,13,13
